City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Butaritari,39,KI,09-02-2019,73,3.07,172.79,84.61,7.94
Iqaluit,75,CA,09-02-2019,100,63.75,-68.52,39.0,5.82
Glens Falls,90,US,09-02-2019,93,43.31,-73.64,66.2,9.17
Port Alfred,0,ZA,09-02-2019,75,-33.59,26.89,66.0,5.99
East London,0,ZA,09-02-2019,60,-33.02,27.91,68.0,18.34
Bredasdorp,0,ZA,09-02-2019,52,-34.53,20.04,64.99,9.17
Punta Arenas,40,CL,09-02-2019,60,-53.16,-70.91,42.8,12.75
Cabo San Lucas,5,MX,09-02-2019,78,22.89,-109.91,82.99,1.23
Tibati,100,CM,09-02-2019,86,6.47,12.63,75.61,4.25
Khatanga,3,RU,09-02-2019,74,71.98,102.47,43.39,7.31
Ostrovnoy,0,RU,09-02-2019,74,68.05,39.51,65.35,14.34
Yamada,75,JP,09-02-2019,94,36.58,137.08,75.2,1.12
Tuktoyaktuk,75,CA,09-02-2019,80,69.44,-133.03,33.8,17.22
Artvin,20,TR,09-02-2019,73,41.18,41.83,77.0,4.7
Rikitea,71,PF,09-02-2019,88,-23.12,-134.97,71.47,15.95
Mandalgovi,67,MN,09-02-2019,21,45.76,106.27,69.31,10.96
Shimanovsk,100,RU,09-02-2019,77,52.0,127.67,54.55,5.48
Albany,90,US,09-02-2019,82,42.65,-73.75,66.99,9.17
Port Elizabeth,75,US,09-02-2019,74,39.31,-74.98,82.99,6.93
Georgetown,40,GY,09-02-2019,66,6.8,-58.16,87.8,9.17
Verkh-Usugli,67,RU,09-02-2019,97,52.7,115.17,49.87,2.06
Hermanus,0,ZA,09-02-2019,72,-34.42,19.24,66.0,5.01
Lewisville,1,US,09-02-2019,65,33.05,-96.99,87.01,4.14
Busselton,15,AU,09-02-2019,51,-33.64,115.35,55.99,27.47
San Patricio,0,PY,09-02-2019,45,-26.98,-56.83,65.17,6.13
Ushuaia,75,AR,09-02-2019,93,-54.81,-68.31,39.2,28.86
Springville,1,US,09-02-2019,29,40.17,-111.61,78.01,8.05
Cape Town,0,ZA,09-02-2019,63,-33.93,18.42,66.99,10.29
Bluff,0,AU,09-02-2019,33,-23.58,149.07,61.39,5.93
Grindavik,0,IS,09-02-2019,66,63.84,-22.43,51.8,13.87
Clyde River,90,CA,09-02-2019,86,70.47,-68.59,41.0,14.99
Faya,40,SA,09-02-2019,64,18.39,42.45,84.2,13.87
Bat Yam,0,IL,09-02-2019,58,32.02,34.75,88.0,14.99
